Year,Level of institution,Type of aid awarded,Family income level,Public Average cost of attendance,Public Average grant/scholarship aid,Public Net price,Private Nonprofit Average cost of attendance,Private Nonprofit Average grant/scholarship aid,Private Nonprofit Net price,Private For-profit Average cost of attendance,Private For-profit Average grant/scholarship aid,Private For-profit Net price
19-20,4-year,Students awarded Title IV aid,All family income levels,20791,7775,13016,43999,21194,22805,30497,6412,24085
19-20,4-year,Students awarded Title IV aid,"$0-30,000",20791,11202,9589,43999,26177,17822,30497,7732,22766
19-20,4-year,Students awarded Title IV aid,"$30,001-48,000",20791,10092,10699,43999,26087,17913,30497,6959,23539
19-20,4-year,Students awarded Title IV aid,"$48,001-75,000",20791,7169,13622,43999,23828,20172,30497,5675,24823
19-20,4-year,Students awarded Title IV aid,"$75,001-110,000",20791,4135,16656,43999,21413,22586,30497,3666,26831
19-20,4-year,Students awarded Title IV aid,"$110,001 and more",20791,2565,18226,43999,17809,26190,30497,3362,27135
19-20,2-year,Students awarded any grant aid,All family income levels,13269,5547,7722,26648,7137,19511,27110,6008,21102
19-20,2-year,Students awarded Title IV aid,All family income levels,13404,5974,7430,26650,6812,19839,27035,5332,21703
19-20,2-year,Students awarded Title IV aid,"$0-30,000",13404,7085,6319,26650,8465,18185,27035,6329,20706
19-20,2-year,Students awarded Title IV aid,"$30,001-48,000",13404,6457,6947,26650,8350,18300,27035,5536,21500
19-20,2-year,Students awarded Title IV aid,"$48,001-75,000",13404,4445,8958,26650,6483,20168,27035,3843,23193
19-20,2-year,Students awarded Title IV aid,"$75,001-110,000",13404,2384,11020,26650,4633,22018,27035,1071,25964
19-20,2-year,Students awarded Title IV aid,"$110,001 and more",13404,1255,12149,26650,3049,23601,27035,498,26537
19-20,Less-than-2-year,Students awarded any grant aid,All family income levels,19725,5434,14290,25547,4609,20938,31937,6271,25666
19-20,Less-than-2-year,Students awarded Title IV aid,All family income levels,20302,5103,15200,25022,4751,20271,32154,5849,26305
19-20,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",20302,5314,14988,25022,6959,18063,32154,6550,25605
19-20,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",20302,5392,14911,25022,3167,21855,32154,7202,24952
19-20,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",20302,3710,16592,25022,3134,21888,32154,3384,28770
19-20,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",20302,1391,18912,25022,1147,23875,32154,1050,31104
19-20,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",20302,277,20026,25022,0,25022,32154,377,31777
20-21,4-year,Students awarded any grant aid,All family income levels,20395.121508379994,7821.87290503,12573.24860335,43771.75144509,21009.625103220005,22762.126341869996,31098.284313730004,7078.09313725,24020.191176469994
20-21,4-year,Students awarded Title IV aid,All family income levels,20495.60335196,8065.00139665,12430.601955310001,43975.5025,21908.556666669996,22066.945833330003,31171.851485150004,6574.53960396,24597.311881190002
20-21,4-year,Students awarded Title IV aid,"$0-30,000",20495.60335196,11401.28711485,9094.31623711,43975.5025,26783.922487220007,17191.580012780003,31171.851485150004,7933.18461538,23238.666869760003
20-21,4-year,Students awarded Title IV aid,"$30,001-48,000",20495.60335196,10460.02957746,10035.57377449,43975.5025,26999.521164020003,16975.981335980003,31171.851485150004,7643.84313725,23528.008347889998
20-21,4-year,Students awarded Title IV aid,"$48,001-75,000",20495.60335196,7566.68085106,12928.922500890001,43975.5025,25007.947132620007,18967.555367379995,31171.851485150004,6404.47014925,24767.38133589
20-21,4-year,Students awarded Title IV aid,"$75,001-110,000",20495.60335196,4387.05057803,16108.552773919999,43975.5025,22072.150608039996,21903.351891960003,31171.851485150004,3805.6916666700004,27366.159818479995
20-21,4-year,Students awarded Title IV aid,"$110,001 and more",20495.60335196,2771.9325337300006,17723.670818219998,43975.5025,18361.97053045,25613.531969549997,31171.851485150004,3256.5,27915.351485150004
