Year,Level of institution,Control of institution,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Women,66.3,43,78.9,48.9,61.3,56.5,69.4,62.1,62,77.9
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Total,62.4,39.7,74.5,44.7,56.8,54.4,65.3,57.4,64.2,70.3
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Men,59,37.30000000000001,71.2,38.4,52,50.1,62.1,53.7,60.9,66
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Women,65.2,41.6,77.6,49,60.4,58.2,68.1,60.3,67.2,76.2
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Total,67.9,48.5,81,46.7,63.9,58.2,71,65.5,61.8,75.3
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Men,64.1,43,79,39.7,60.1,53.6,67.7,61.8,58.2,70.6
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Women,71,52.7,82.5,52.6,66.6,61.6,73.7,68.1,64.6,80.4
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Total,26.3,14.2,47.2,19.2,29.9,22.4,27.4,33.4,18.1,58.2
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Men,27.6,19.6,44.8,19.5,29.4,21.6,30.1,38.30000000000001,19.5,53.6
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Women,25.1,10.1,49.8,18.9,30.3,22.9,25,27.6,16.6,62.4
18-19,2-year institutions (cohort year 2016),Total,Total,34.9,30.9,42.7,28.2,33.5,35.4,37.7,29.2,34.1,36.80000000000001
18-19,2-year institutions (cohort year 2016),Total,Men,33.30000000000001,30.3,38.1,25.4,29.9,30.7,37.5,27.5,31.3,34
18-19,2-year institutions (cohort year 2016),Total,Women,36.4,31.3,47.5,30.5,36.6,39.2,37.9,30.7,36.80000000000001,40
18-19,2-year institutions (cohort year 2016),Public,Total,29.8,24.2,37.6,20.4,26.2,25.6,34.1,24.2,26,35
18-19,2-year institutions (cohort year 2016),Public,Men,29,24.6,34.4,19.1,23.8,23.1,34,22.8,25.2,32.30000000000001
