year,level_of_institution,distance_education_status_of_student,total_undergraduate,total_graduate,public_undergraduate,public_graduate,private_nonprofit_undergraduate,private_nonprofit_graduate,private_for_profit_undergraduate,private_for_profit_graduate
22-23,2-year,Enrolled exclusively in distance education courses,2278171,0,2217390,0,35499,0,25282,0
22-23,2-year,"Enrolled in at least one, but not all, distance education courses",2132696,0,2021423,0,9346,0,101927,0
22-23,2-year,Not enrolled in any distance education courses,2529690,0,2307447,0,20231,0,202012,0
22-23,Less-than-2-year,All students,461420,0,90754,0,11397,0,359269,0
22-23,Less-than-2-year,Enrolled exclusively in distance education courses,5087,0,1004,0,1381,0,2702,0
22-23,Less-than-2-year,"Enrolled in at least one, but not all, distance education courses",26305,0,2520,0,522,0,23263,0
22-23,Less-than-2-year,Not enrolled in any distance education courses,430028,0,87230,0,9494,0,333304,0
23-24,All students,All students,21611250,4059218,16466176,1955759,3440159,1746623,1704915,356836
23-24,All students,Enrolled exclusively in distance education courses,5887127,1737891,4122962,723204,983922,702727,780243,311960
23-24,All students,"Enrolled in at least one, but not all, distance education courses",7858227,867484,6720532,445149,839267,395814,298428,26521
23-24,All students,Not enrolled in any distance education courses,7865896,1453843,5622682,787406,1616970,648082,626244,18355
23-24,4-year,All students,14213314,4059218,9866434,1955759,3353741,1746623,993139,356836
23-24,4-year,Enrolled exclusively in distance education courses,3737980,1737891,2048157,723204,941014,702727,748809,311960
23-24,4-year,"Enrolled in at least one, but not all, distance education courses",5651536,867484,4649234,445149,830470,395814,171832,26521
23-24,4-year,Not enrolled in any distance education courses,4823798,1453843,3169043,787406,1582257,648082,72498,18355
23-24,2-year,All students,6913499,0,6502611,0,73704,0,337184,0
23-24,2-year,Enrolled exclusively in distance education courses,2145184,0,2074172,0,42252,0,28760,0
23-24,2-year,"Enrolled in at least one, but not all, distance education courses",2180439,0,2070804,0,8316,0,101319,0
23-24,2-year,Not enrolled in any distance education courses,2587876,0,2357635,0,23136,0,207105,0
23-24,Less-than-2-year,All students,484437,0,97131,0,12714,0,374592,0
23-24,Less-than-2-year,Enrolled exclusively in distance education courses,3963,0,633,0,656,0,2674,0
23-24,Less-than-2-year,"Enrolled in at least one, but not all, distance education courses",26252,0,494,0,481,0,25277,0
23-24,Less-than-2-year,Not enrolled in any distance education courses,454222,0,96004,0,11577,0,346641,0
