year,state_or_jurisdiction,all_students_men,all_students_women,american_indian_or_alaska_native_men,american_indian_or_alaska_native_women,asian_men,asian_women,black_or_african_american_men,black_or_african_american_women,hispanic_or_latino_men,hispanic_or_latino_women,native_hawaiian_or_other_pacific_islander_men,native_hawaiian_or_other_pacific_islander_women,white_men,white_women,two_or_more_races_men,two_or_more_races_women,race_ethnicity_unknown_men,race_ethnicity_unknown_women,nonresident_men,nonresident_women
22-23,Iowa,114448,141429,429,538,4192,4407,6984,7860,8906,11738,203,222,77030,101140,3248,4210,7181,7327,6275,3987
22-23,Kansas,110399,140589,1253,1738,3789,4588,8484,8534,12674,17403,299,330,65906,88349,4627,5918,6827,8957,6540,4772
22-23,Kentucky,133597,199828,279,459,5770,5970,11367,19607,6515,10086,157,203,87246,139810,4078,6985,7236,11028,10949,5680
22-23,Louisiana,112453,194803,661,1225,3510,4425,30178,71576,6863,11404,199,372,59147,89989,3267,5702,4351,6283,4277,3827
22-23,Maine,36462,60436,280,448,1037,1734,1974,2567,1762,2629,36,73,26777,46053,1199,1986,2365,3989,1032,957
22-23,Maryland,199519,246652,553,650,18076,18744,46343,72391,23611,27216,559,547,76833,87694,8624,11044,10017,12105,14903,16261
22-23,Massachusetts,244922,342583,329,555,22492,30566,18293,30034,26243,45808,160,270,110361,158713,8050,11883,16928,25859,42066,38895
22-23,Michigan,256690,340079,1288,2161,14474,16001,25737,48848,16861,23585,278,288,154435,204781,9391,13818,14764,16718,19462,13879
22-23,Minnesota,174221,334710,1182,2345,11092,18184,23220,64039,12309,27522,228,559,101374,184969,6089,11899,10279,17346,8448,7847
22-23,Mississippi,75272,122453,337,623,1174,1624,23328,47705,2706,3810,50,82,41382,61378,1652,2663,2512,3015,2131,1553
22-23,Missouri,172449,243693,745,1139,6572,8525,15453,27750,11250,15944,317,415,108099,158797,6469,9536,8018,10772,15526,10815
22-23,Montana,25468,34014,1650,3351,485,854,345,207,1228,1694,44,56,18794,24357,1377,1744,998,1278,547,473
22-23,Nebraska,74179,100740,592,1079,2502,3113,4623,6047,9333,13214,105,158,48060,67491,2461,3679,3823,3930,2680,2029
22-23,Nevada,60173,89828,320,547,6654,9274,4499,8739,18096,30060,513,808,21478,28849,4901,7452,2690,3096,1022,1003
22-23,New Hampshire,122403,199385,706,1191,4173,4720,14311,31980,13849,22983,344,661,67890,107629,3605,6812,13993,20713,3532,2696
22-23,New Jersey,229466,284595,384,496,24186,25842,25431,44412,46346,70990,315,387,97016,105419,6170,8125,13963,17370,15655,11554
22-23,New Mexico,57141,90838,4549,9185,1317,1903,2170,2318,26146,45214,162,183,16631,24197,1673,2598,2676,3505,1817,1735
22-23,New York,598955,824293,1751,2534,66856,83272,64751,117407,99582,157913,748,1091,256635,328763,16749,25748,31559,40522,60324,67043
22-23,North Carolina,276965,412970,2405,4659,12476,15575,49747,97263,28518,44437,380,477,151026,209053,9499,15127,10091,14672,12823,11707
22-23,North Dakota,29185,34549,1094,2135,489,542,1137,1033,1468,1503,41,33,20026,24350,1159,1350,2108,2451,1663,1152
22-23,Ohio,339998,471514,953,1364,12377,16718,35548,65123,17940,27292,335,468,219943,302851,11946,18832,19803,23827,21153,15039
22-23,Oklahoma,108433,150764,8004,12673,3830,4816,8424,12584,12245,18433,212,259,57489,79320,9425,14341,3464,4154,5340,4184
22-23,Oregon,122263,160564,1008,1672,7618,9727,3672,4402,18618,27847,691,876,69335,91386,7328,10081,9604,11049,4389,3524
22-23,Pennsylvania,331377,458153,635,879,23125,29869,33046,55038,26995,42205,308,376,190558,267312,10656,15727,17720,23836,28334,22911
22-23,Rhode Island,39623,54411,111,176,2019,2689,3222,4759,5550,8908,39,34,22581,29643,1437,2250,2510,3292,2154,2660
22-23,South Carolina,117871,186050,386,587,2825,3921,22100,48117,8320,12374,168,235,71419,104791,4450,7165,4070,5696,4133,3164
22-23,South Dakota,29415,38892,1171,2747,448,579,1372,1110,1273,1391,72,42,21935,29554,753,968,969,1459,1422,1042
22-23,Tennessee,166488,243774,469,732,5092,6912,25650,50354,11496,16137,331,288,104687,147281,5858,8578,6138,8278,6767,5214
22-23,Texas,861290,1221905,2953,3961,65470,75311,91753,162450,331634,510970,1170,1341,271756,362723,23945,34551,25171,31954,47438,38644
22-23,United States,10407639,14528758,63167,107487,769909,928516,1117141,2053497,1983910,2986475,26274,35313,4858139,6600675,397737,577338,557752,706413,633610,533044
22-23,Utah,244658,331897,1778,2921,8636,10071,13177,21012,30514,41737,1639,2029,158247,216896,8558,10806,13264,18811,8845,7614
22-23,Vermont,22410,32316,68,117,786,1114,907,1134,1456,1927,14,24,16192,24325,863,1263,1265,1462,859,950
22-23,Virginia,300287,403856,895,1224,23819,26856,46660,82826,29419,40504,637,786,147139,192870,13254,18553,25470,29328,12994,10909
22-23,Washington,185915,237197,1315,2548,19903,25899,9888,12800,25328,39434,1027,1554,84554,110499,12806,17836,19892,15734,11202,10893
22-23,West Virginia,104703,95442,496,464,2624,1937,12180,10437,12438,8673,608,444,62916,63207,4119,3952,7154,4580,2168,1748
22-23,Wisconsin,175783,230943,1313,2154,7911,10090,8209,16147,14887,22319,183,204,119892,157310,5422,8014,9097,8149,8869,6556
22-23,Wyoming,16873,20519,213,328,134,221,235,162,1858,2294,36,23,12205,15230,558,693,1139,1230,495,338
