year,state_or_jurisdiction,all_students_men,all_students_women,american_indian_or_alaska_native_men,american_indian_or_alaska_native_women,asian_men,asian_women,black_or_african_american_men,black_or_african_american_women,hispanic_or_latino_men,hispanic_or_latino_women,native_hawaiian_or_other_pacific_islander_men,native_hawaiian_or_other_pacific_islander_women,white_men,white_women,two_or_more_races_men,two_or_more_races_women,race_ethnicity_unknown_men,race_ethnicity_unknown_women,nonresident_men,nonresident_women
19-20,Virginia,303673,418219,950,1384,22046,24700,47936,86760,26786,37264,711,840,157433,207373,11973,17600,22982,31916,12856,10382
19-20,Washington,212226,273206,1679,3071,19148,24735,9693,12088,25473,38642,1200,1771,101034,133061,14781,20662,25027,26809,14191,12367
19-20,West Virginia,106856,101471,501,449,2098,1735,11579,9875,9850,6764,606,428,68028,71735,3619,3522,7229,5112,3346,1851
19-20,Wisconsin,179248,236442,1255,2162,7320,9567,8244,15610,13334,19210,191,247,130049,170316,4832,7101,5878,5731,8145,6498
19-20,Wyoming,19458,22258,265,357,135,219,313,173,1667,2063,30,40,14486,16794,536,694,1435,1551,591,367
20-21,Alabama,156775,219026,868,1156,3286,4055,30478,61472,6537,8873,227,240,96865,124514,4313,6631,8690,8655,5511,3430
20-21,Alaska,13465,22393,1190,2639,510,1002,355,662,924,1640,213,370,7186,11377,1074,1964,1777,2477,236,262
20-21,Arizona,334596,568666,5506,12978,13465,19810,30482,72374,74581,133443,1304,2433,145783,229101,12771,21392,39445,70168,11259,6967
20-21,Arkansas,72923,115749,449,837,1597,2044,10025,20421,5624,8337,111,161,47813,74996,3126,4779,1460,1879,2718,2295
20-21,California,1499117,2075277,4694,7338,232706,287486,85142,135408,555248,871440,7225,9452,391136,506621,67828,95517,78496,90437,76642,71578
20-21,Colorado,207407,281811,1877,2697,7481,9791,13458,22513,33716,52524,543,715,118584,151820,9032,12638,16058,23977,6658,5136
20-21,Connecticut,101029,153158,299,524,5615,7307,12816,24584,15561,27081,122,242,52114,75350,4032,6499,4206,6116,6264,5455
20-21,Delaware,28342,48975,77,164,1237,1645,5303,11401,2698,5157,39,63,14489,24959,1045,2007,997,1395,2457,2184
20-21,District of Columbia,43582,71782,132,303,3054,4736,7807,19706,4238,7906,77,130,18258,25940,1418,2822,3210,4287,5388,5952
20-21,Florida,593360,878657,1591,2486,21972,27936,86057,173168,169574,252807,1189,1815,240116,326253,19558,28616,24599,38688,28704,26888
20-21,Georgia,271538,420345,741,1324,20058,20327,68455,146953,24647,38641,323,666,125037,176042,8638,13700,6538,8647,17101,14045
20-21,Hawaii,29367,50439,55,129,8847,14237,633,691,3356,6751,1510,3190,4532,7726,7974,14273,749,1018,1711,2424
20-21,Idaho,74505,104674,386,678,1384,2015,1760,1413,7234,11824,420,607,51042,73971,4404,5900,5647,6434,2228,1832
20-21,Illinois,383756,570575,807,1371,30441,36857,38445,82213,68461,114602,486,737,191223,273585,11137,16310,17506,25391,25250,19509
20-21,Indiana,248460,330366,658,889,10424,11029,20039,39134,19765,27088,365,427,163826,215379,9665,13796,9361,13840,14357,8784
20-21,Iowa,117563,146467,427,555,3836,4252,7420,8098,8173,11040,205,187,79552,104987,3045,4067,8548,9395,6357,3886
20-21,Kansas,116127,152080,1233,1716,3847,4484,9908,10684,12439,16864,326,305,70164,97064,4511,6374,6051,7281,7648,7308
20-21,Kentucky,130527,192019,243,391,2910,3813,10256,17994,5554,8662,116,204,83840,135604,3800,6700,12772,13774,11036,4877
20-21,Louisiana,113075,198475,722,1382,3319,4275,28760,69877,6803,11082,615,1450,60735,93724,3590,6356,4510,6798,4021,3531
20-21,Maine,35031,56537,237,412,878,1399,1661,1908,1250,1664,26,63,25334,41871,965,1548,3825,6890,855,782
20-21,Maryland,200841,263518,561,767,17245,18802,46165,78793,21413,26484,593,550,84009,100754,8750,11687,10241,12470,11864,13211
20-21,Massachusetts,248458,352161,352,626,21228,29332,18449,30854,24806,44236,324,279,121337,173636,7725,11880,17450,27472,36787,33846
20-21,Michigan,264675,359798,1239,2133,13711,15265,25134,49901,15652,21839,275,315,169590,228548,9784,14689,12966,15480,16324,11628
20-21,Minnesota,186326,351053,1134,2251,11202,18727,23434,61633,11733,24771,294,654,113188,201974,6119,11810,11127,21684,8095,7549
20-21,Mississippi,79491,132866,350,678,1279,1634,24540,52930,2436,3591,65,68,45109,67139,1652,2598,2206,2915,1854,1313
20-21,Missouri,178252,257477,752,1192,6852,8604,16998,30621,11280,15371,367,433,119027,175374,6662,9686,6916,8796,9398,7400
20-21,Montana,24805,32852,1660,3163,470,900,415,218,1137,1498,49,54,18455,24062,1002,1357,1001,1217,616,383
20-21,Nebraska,73684,101265,505,845,2349,3018,4183,5514,7991,11545,115,192,49205,69837,2088,3277,4418,5016,2830,2021
20-21,Nevada,60248,93522,326,614,6594,9587,4284,8581,16751,28957,593,918,23668,33045,4404,7074,2677,3749,951,997
20-21,New Hampshire,103236,168758,424,803,2675,3366,9713,21817,8772,15834,236,462,57198,92433,2301,4247,18418,27655,3499,2141
20-21,New Jersey,230701,298263,471,578,23584,25724,25447,46941,42329,69419,419,531,104293,117470,5871,8123,14830,18790,13457,10687
20-21,New Mexico,56332,91778,4278,8924,1324,1903,2049,2338,25427,45142,141,175,17253,25715,1583,2348,2456,3572,1821,1661
20-21,New York,623078,880921,1841,2972,65916,82998,70024,130700,102638,168019,802,1255,280394,365951,16323,25432,32821,45327,52319,58267
20-21,North Carolina,275743,421319,2391,4839,11458,14244,48923,99768,25557,39591,411,519,156590,221809,9258,15202,10683,15760,10472,9587
20-21,North Dakota,29161,34231,853,1681,462,502,1149,948,1338,1346,37,40,21095,25809,1070,1303,1482,1533,1675,1069
20-21,Ohio,363951,517099,945,1429,11929,16236,38308,71063,18722,29893,411,623,244767,342498,12504,20531,18366,21714,17999,13112
20-21,Oklahoma,110790,151516,7744,12215,3670,4337,8502,12513,11533,16666,183,247,60711,82684,9706,14987,3657,3919,5084,3948
20-21,Oregon,123270,165838,1014,1627,7434,9664,3424,4142,16381,25626,741,899,71106,98335,7108,10203,10613,11383,5449,3959
20-21,Pennsylvania,343598,484503,608,898,21672,27728,32665,57964,24835,40159,382,452,209271,294833,11116,16932,17049,24936,26000,20601
20-21,Rhode Island,38553,54396,98,174,1734,2570,2765,4459,4689,8307,46,35,23423,30656,1293,2099,2588,3864,1917,2232
20-21,South Carolina,113563,179171,349,575,2632,3535,20903,47108,6850,10040,137,188,71643,104185,3912,6408,3638,4681,3499,2451
20-21,South Dakota,28370,38713,1164,2804,447,573,1216,1040,1135,1423,79,46,21746,29958,766,1045,820,1143,997,681
20-21,Tennessee,162415,246992,490,684,4897,6315,24561,50810,9425,13549,181,259,108505,156331,5296,8017,4661,7262,4399,3765
20-21,Texas,861931,1267032,2865,4260,62707,74445,93914,173011,323067,515226,1155,1566,295918,404872,24981,37162,20742,25160,36582,31330
20-21,United States,10374675,14974454,60820,107274,738818,921868,1102257,2108387,1860837,2937372,27725,39535,5088728,7051665,385776,579931,560955,756097,548759,472325
20-21,Utah,218511,308869,2050,3475,6998,8941,9238,17115,23537,35036,1540,2005,151415,207590,6595,8406,12424,22727,4714,3574
20-21,Vermont,23065,30877,75,100,696,919,970,1007,1392,1624,19,22,16969,23556,781,1169,1353,1663,810,817
20-21,Virginia,296480,419948,913,1431,22390,26422,47346,88455,24720,36538,701,845,152794,205225,12480,18526,24182,33565,10954,8941
20-21,Washington,191206,258769,1383,2783,18671,25128,8940,11837,23306,38536,1077,1756,91226,125245,13595,20262,21290,22469,11718,10753
20-21,West Virginia,106261,99883,513,448,2327,1980,11894,10187,11241,7730,715,442,65476,68953,3903,3728,7585,4773,2607,1642
20-21,Wisconsin,168643,232195,1047,1978,7249,9750,7140,15270,12789,19882,158,215,121839,166230,4702,7202,6550,6370,7169,5298
20-21,Wyoming,18492,21400,233,358,149,219,304,175,1572,2068,37,33,13879,16074,520,652,1300,1485,498,336
21-22,Alabama,156598,220062,827,1075,3313,4141,31045,62016,6877,9392,237,250,96539,124724,4500,6936,7359,7745,5901,3783
21-22,Alaska,12847,21278,1221,2671,501,1002,338,638,834,1655,202,309,6659,10534,1012,1954,1832,2234,248,281
21-22,Arizona,340187,567270,5520,12669,13797,19609,30465,69921,77989,135766,1317,2349,144210,223928,13240,21899,41659,73828,11990,7301
21-22,Arkansas,75850,118782,505,883,1649,2159,10836,21595,6185,9168,129,176,48461,75208,3352,5053,1469,1943,3264,2597
21-22,California,1477497,1975459,4469,7028,229483,276266,83618,127740,549805,834550,6860,8583,381323,473493,67941,92143,78556,85636,75442,70020
21-22,Colorado,206767,279094,1817,2795,7844,10046,13513,22500,34610,52888,560,698,115537,146995,9248,12590,16296,25024,7342,5558
21-22,Connecticut,100632,150850,272,542,5820,7625,12978,23453,15960,27246,109,237,49810,73630,3850,5977,3991,5577,7842,6563
21-22,Delaware,26296,44631,67,130,1163,1604,4882,10716,2628,5021,49,51,13287,22187,953,1847,786,1137,2481,1938
21-22,District of Columbia,44247,73642,140,318,3338,5346,7928,19299,4412,7796,74,125,18066,26818,1503,3042,3714,5188,5072,5710
21-22,Florida,582868,857501,1596,2323,22458,28263,84862,168906,169459,250895,1093,1731,230245,310952,19813,28596,24201,37267,29141,28568
21-22,Georgia,271397,414760,718,1200,21063,21208,68226,142762,25788,40528,334,520,121581,170454,8681,13580,6192,9302,18814,15206
21-22,Hawaii,28712,50201,56,148,8534,13577,621,720,3369,6965,1442,3096,4603,8117,7511,13578,689,1054,1887,2946
21-22,Idaho,76631,104623,428,689,1369,2020,2005,1488,11287,16223,345,573,51966,73262,2448,3127,4516,5467,2267,1774
21-22,Illinois,393705,562897,916,1328,31107,37739,39823,81880,72441,117203,470,722,189890,261757,11425,15907,18066,24336,29567,22025
21-22,Indiana,260964,329618,664,834,11668,12170,19902,37285,19723,27259,371,409,163598,209944,9326,13138,18916,18738,16796,9841
21-22,Iowa,116323,144215,451,573,3848,4291,7211,7962,8630,11303,200,225,78121,103077,3239,4124,8143,8694,6480,3966
21-22,Kansas,110083,141455,1146,1619,3755,4462,8566,8512,12272,16561,280,309,66451,89970,4228,5883,7318,9758,6067,4381
21-22,Kentucky,130823,195054,273,414,3178,4292,10544,18636,5865,9573,137,194,84049,135110,3744,6732,9196,13346,13837,6757
21-22,Louisiana,111194,193371,756,1416,3424,4389,29176,68963,6662,10897,317,671,59314,91392,3243,5692,4268,6250,4034,3701
21-22,Maine,34686,57020,227,405,786,1323,1678,2043,1428,2040,30,57,24945,41742,1097,1783,3521,6754,974,873
21-22,Maryland,193948,249323,535,703,17274,18338,44329,72989,21626,25925,542,532,78549,93127,8277,10904,10162,12566,12654,14239
21-22,Massachusetts,245584,349016,359,599,22010,30150,18372,30681,25095,44800,168,275,116273,167679,8040,12134,17094,27319,38173,35379
