year,level_of_institution,control_of_institution,gender,all_students,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_or_other_pacific_islander,white,two_or_more_races,race_ethnicity_unknown,nonresident,level_of_institution_footnote
19-20,All 4-year institutions (cohort year 2014),Total,Total,60.1,36.2,74.7,40.5,53,47.6,64.5,55.9,48.2,70.1,2
19-20,All 4-year institutions (cohort year 2014),Total,Men,56.7,33.1,71.2,34.8,48.3,44.9,61.3,52.2,45.7,65.5,2
19-20,All 4-year institutions (cohort year 2014),Total,Women,62.9,38.6,77.9,44.8,56.6,49.8,67.3,58.8,50.4,75.8,2
19-20,All 4-year institutions (cohort year 2014),Public,Total,58.5,33.5,72.6,40.7,50.5,45.7,62.7,53.4,55.1,67.1,2
19-20,All 4-year institutions (cohort year 2014),Public,Men,55.1,30.8,68.9,34.5,45.4,41.8,59.4,49.5,51.6,63,2
19-20,All 4-year institutions (cohort year 2014),Public,Women,61.5,35.7,76.2,45.1,54.5,49.2,65.5,56.5,58.6,72.8,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Total,66.9,44.9,81.4,44.6,62.9,58,70.6,64.7,54.9,74.9,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Men,63.2,40.8,79.6,38.2,59.4,55.7,67.2,61.4,51.8,70.2,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Women,69.9,48.1,82.6,49.9,65.5,59.8,73.3,67,57.4,80.1,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Total,36.1,36.1,59.7,24,48.5,34.4,38.4,35.5,22.3,64.3,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Men,35.3,32.5,53.6,22.9,46.2,37.2,39.6,36.1,21,58,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Women,36.6,38.4,64.1,24.7,50,32.8,37.5,35.1,23.4,70.2,2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Total,64,41.5,77,45,58.7,52.3,67.4,59.5,54.2,72.1,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Men,60.5,38.2,73.7,38.6,54,48.7,64.1,55.8,51,67.2,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Women,67,43.9,79.9,49.7,62.2,55.3,70.2,62.3,57.1,78.1,
